"","FC","log2(FC)","p.ajusted","-log10(p)"
"9.57_635.5003m/z",2.7227,1.445,0.0055084,2.259
"8.97_323.2226m/z",0.26077,-1.9392,0.0059552,2.2251
"9.04_208.1113m/z",0.49282,-1.0209,0.0066415,2.1777
"8.63_499.2714n",0.45219,-1.145,0.0084501,2.0731
"8.63_475.2712n",0.30677,-1.7048,0.0088583,2.0527
"8.86_329.2486m/z",2.1767,1.1221,0.0095379,2.0205
"9.54_427.2832m/z",2.5131,1.3295,0.0096142,2.0171
"8.69_451.1790m/z",0.24988,-2.0007,0.011474,1.9403
"6.37_334.2955m/z",0.49044,-1.0279,0.014203,1.8476
"8.37_319.2284m/z",2.5865,1.371,0.016727,1.7766
"7.58_303.2327m/z",2.7011,1.4335,0.019369,1.7129
"11.91_1160.3458m/z",3.1574,1.6587,0.02046,1.6891
"10.43_495.5046n",2.0541,1.0385,0.039033,1.4086
"8.33_424.2469m/z",2.0467,1.0333,0.046022,1.337
"8.35_224.0688m/z",0.19561,-2.3539,0.049351,1.3067
