"","FC","log2(FC)","p.ajusted","-log10(p)"
"8.59_319.2274m/z",3.4579,1.7899,0.00041099,3.3862
"10.16_350.2827n",0.40565,-1.3017,0.00048872,3.3109
"9.70_321.2428m/z",0.39492,-1.3404,0.00053589,3.2709
"12.63_858.6287m/z",3.5473,1.8267,0.00059194,3.2277
"11.03_1132.4581m/z",0.28413,-1.8154,0.00070652,3.1509
"10.16_407.2099m/z",0.42027,-1.2506,0.000802,3.0958
"9.04_121.1015m/z",0.49142,-1.025,0.0010364,2.9845
"8.59_387.2151m/z",3.7549,1.9088,0.0010971,2.9598
"9.04_451.1796m/z",0.097097,-3.3644,0.0011476,2.9402
"9.92_363.2062m/z",2.3898,1.2569,0.0012806,2.8926
"9.67_311.2937m/z",0.24362,-2.0373,0.0012989,2.8864
"8.28_414.3579m/z",0.43741,-1.1929,0.0015333,2.8144
"8.52_643.1956m/z",0.40859,-1.2913,0.0016551,2.7812
"9.49_508.5955m/z",2.0908,1.0641,0.0018284,2.7379
"9.35_275.2359m/z",2.9768,1.5737,0.0028856,2.5398
"10.46_1070.9030m/z",3.7041,1.8891,0.0059977,2.222
"8.62_140.5438m/z",0.4255,-1.2328,0.0063688,2.1959
"10.14_637.5188m/z",2.1803,1.1245,0.0065015,2.187
"0.59_126.0226m/z",2.3518,1.2337,0.0078145,2.1071
"9.38_526.5734m/z",2.2238,1.153,0.0078651,2.1043
"8.83_345.2429m/z",4.7645,2.2523,0.0080239,2.0956
"11.32_833.0414n",0.3898,-1.3592,0.0084559,2.0728
"8.96_347.2595m/z",4.1931,2.068,0.0087206,2.0595
"11.15_388.7314m/z",0.47493,-1.0742,0.0087206,2.0595
"9.94_580.3987m/z",2.3227,1.2158,0.0098382,2.0071
"0.59_124.0062m/z",2.3985,1.2621,0.012263,1.9114
"10.92_1162.4750m/z",0.25938,-1.9469,0.014365,1.8427
"0.71_146.1184m/z",0.47363,-1.0782,0.0158,1.8013
"8.62_1055.1110m/z",0.24549,-2.0263,0.015929,1.7978
"11.39_637.5638m/z",2.3706,1.2453,0.026926,1.5698
"8.85_321.2435m/z",2.5842,1.3697,0.029422,1.5313
"9.51_546.9469m/z",2.0496,1.0353,0.033247,1.4782
