"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"7.32_627.3134m/z","-0.35695065"," 1.31416147","-0.58362259"," 0.17826735"," 0.39639934"," 0.50189201"," 0.41553895","-1.02401930","-0.83184045"," 0.90163361"," 0.10253969"," 0.68830678"," 0.08032529"," 0.32824880"," 0.55607289"," 0.77189897","-1.81234507","-2.73601678","-0.05702125"," 1.16653092"
"8.63_626.2778m/z","-0.95021588"," 1.66435032"," 1.44041456"," 1.24099338"," 0.50423319","-0.27626295","-0.61814908","-0.26561919","-0.97445878","-0.36298802"," 1.31577443"," 1.46520712","-0.75018733"," 0.97842912","-0.06222349","-1.01979011","-0.40855068","-0.88683864","-1.45486481","-0.57925315"
"9.16_626.2747m/z"," 1.4853850"," 1.2740865"," 1.0120459"," 0.3773017"," 0.1561443"," 0.9300312"," 0.5598850"," 0.5147407"," 0.8134777"," 0.8833976"," 0.5801635","-0.7504691","-1.5645245","-1.0191567","-1.2049118","-1.1547556","-0.6808847","-0.5541102","-1.7716540"," 0.1138075"
"9.89_624.4885m/z","-1.87919833","-0.88517312","-0.11874429","-1.27905394","-0.07303743"," 0.16471107"," 1.31843824","-0.81668293","-1.01198312"," 0.58925069","-1.79434045"," 0.51672326"," 0.01440069"," 0.49068480"," 0.21048149"," 0.63699454"," 0.15146884"," 1.50191065"," 1.45457409"," 0.80857527"
"9.18_622.4837n","-1.118909035","-0.429153453","-1.396986370","-0.138433154"," 0.548419356","-0.624518554"," 0.734846404","-0.141325874","-0.305151910"," 2.014738145","-2.258989065"," 0.698954138"," 1.181927927","-0.649762963"," 0.058721504"," 0.350321387"," 0.733417837","-0.583466242"," 1.332223392","-0.006873469"
"6.94_621.5346m/z"," 0.76588085","-1.51849199"," 1.22368475","-1.06329018","-0.55536817"," 1.19018549"," 0.01712125"," 1.59986556","-0.97612982"," 0.35638406","-0.58390235"," 1.49099829","-1.22846370","-0.58597863"," 0.80117663"," 0.71193678","-0.52807701"," 0.03325748"," 0.32114362","-1.47193291"
"12.16_621.4781m/z","-1.27504306","-1.47173676","-0.24725794","-1.74072467"," 0.37915232"," 1.85532571","-0.52580968"," 0.18743756","-0.03748828","-1.27668191","-0.99957795"," 0.60343662"," 1.59590560"," 0.96072540"," 1.13975715","-0.03625573"," 0.07133868","-0.02277292"," 0.20118128"," 0.63908857"
"11.12_621.4755m/z","-0.10242640"," 0.78518324","-0.48023784","-0.15520813"," 0.46447402"," 0.37980556"," 1.06379383"," 0.67561217"," 1.61215585"," 0.50713085"," 0.22508124","-2.23852745"," 0.71257342"," 0.62128407"," 0.17559907"," 0.05454798","-0.41797458","-0.48648498","-0.94134061","-2.45504133"
"12.40_621.4752m/z"," 0.54345356","-2.08812418","-0.83044084","-1.35589640"," 0.29086983"," 0.01135728"," 0.40569163","-0.63998624"," 0.54297550","-0.73872600","-0.57802266"," 0.70314389"," 0.44508149"," 1.22488074"," 1.48825123","-0.16488494"," 0.43670542","-1.69098632"," 0.49316462"," 1.50149240"
"10.76_621.3727m/z"," 0.78198671","-0.48322185"," 0.67385567"," 0.13954581"," 0.92915782"," 1.31670734"," 1.41737979"," 1.40595517"," 1.26241131"," 0.87269751","-0.20273925","-1.32982168","-0.72629722","-0.70716119","-0.95850554","-1.44033659","-0.01050641","-0.93501638","-1.11803535","-0.88805566"
