"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"8.60_674.1739m/z","-0.20181853"," 0.94065077","-1.53365206"," 1.19335720","-1.38853687"," 0.03373976","-0.20036567","-1.83345148","-1.07524681"," 0.67200903","-0.41326282"," 1.90588947"," 0.22991728","-0.74379611"," 0.54894957","-0.19511705"," 0.84566082"," 1.05443440","-0.54058764"," 0.70122673"
"10.36_672.5745n"," 0.20760812"," 0.03283566"," 1.06694649","-0.19294038","-0.28244364","-0.82678031","-0.57091277","-0.59168124","-0.95759476","-0.43946403"," 1.78838827"," 0.57772292"," 2.50593089"," 1.56143507","-0.64886967","-0.33076768","-0.46807302","-1.03788924","-0.99943971","-0.39401096"
"10.83_671.3515n"," 0.62279878"," 0.77440462"," 1.98612661"," 0.51515238"," 0.55256196"," 0.23546965","-1.18903237","-0.36939380","-1.83287946","-1.43196572"," 1.56830140","-0.24491247"," 0.59149576"," 0.48961261"," 0.37030469"," 0.06363485"," 0.10532153","-0.51621535","-1.55135493","-0.73943075"
"9.64_660.5101m/z"," 1.8298493"," 1.0324162"," 1.7291642"," 1.6757774","-0.1415485"," 0.6197535"," 0.6919380","-0.1704451","-0.5936064"," 0.3568977","-0.0256842","-0.7133394","-1.4341090","-0.2220356","-0.2881629","-1.3682331","-0.4172002","-1.4086136","-0.5410469","-0.6117714"
"9.53_653.5210m/z"," 0.09334596"," 0.59616533"," 0.26458397"," 0.48020891"," 0.69693355","-0.53483826","-0.27728653","-1.83392203"," 0.59994008"," 0.27438359","-3.27379843"," 0.29464753"," 0.92558484"," 0.65144899","-0.75406871"," 0.67536295"," 0.66118980"," 0.33065559","-0.04213523"," 0.17159810"
"8.60_645.2725m/z","-1.0499637"," 0.1934133","-0.7808257","-1.3038282","-1.4471236","-1.1714777","-0.6193519","-1.3005993","-0.7814925","-0.2898923"," 1.0605868"," 0.8135934"," 0.6577848"," 0.9553005"," 0.1818626"," 0.7825855"," 0.8269048"," 0.4856410"," 0.7878369"," 1.9990454"
"9.17_640.4925n","-0.214392086"," 0.252317914"," 0.626500839","-0.115205882","-0.196786413"," 0.745560055","-1.358187537"," 0.226532178","-1.138331462","-0.421411023"," 1.316748578"," 1.712768950"," 1.715638403","-0.998924672","-0.005665845"," 0.187406904","-2.041583449","-1.093708377"," 0.710177836"," 0.090545089"
"11.37_637.5644m/z","-0.33959986"," 1.90058180"," 1.11887002"," 1.64844655"," 0.56433001"," 0.31869450"," 0.58864388"," 0.40721636"," 0.38327988"," 0.07989131","-0.57611574","-0.09045023"," 0.43538397","-0.77019128","-0.32446579","-0.59505990"," 0.04016765","-1.63493115","-0.87567140","-2.27902057"
"11.26_637.5637m/z","-0.40243514","-0.28736240"," 0.85609708"," 0.72786230","-0.07130059"," 0.62807594","-1.66056615","-1.71175442"," 0.24691508"," 1.76229780","-0.23233241","-1.13081187"," 0.74886773"," 1.33368231","-1.38090056"," 0.70770947"," 1.20459215","-0.47473354","-0.19803500","-0.66586777"
"11.67_637.5131m/z","-1.89824275"," 0.03437047","-0.64007132","-1.12849952","-1.76104385","-1.39112816","-0.31747342","-0.21242876"," 0.35422506","-0.89622871"," 1.22776741"," 1.54250960"," 0.76995549"," 0.84197325"," 0.02879533"," 0.77926137"," 0.73231831"," 0.75099795"," 0.63953483"," 0.54340742"
"10.46_637.3032m/z"," 1.99739519"," 0.57540704"," 1.59145320"," 0.55742090","-1.15729001"," 1.60351060","-0.17495893","-0.34410177","-0.32524648"," 0.68218689","-0.07216272"," 0.18472553","-0.11688359","-2.03822943","-0.53558553","-0.40185010","-1.01266921"," 0.54739743","-0.72250765","-0.83801135"
"9.72_635.3816m/z","-1.7063626990","-0.3767149942","-0.0297237516","-0.0203926365"," 0.1833683932","-0.7485083295"," 1.1400441178"," 0.4810252187","-1.6414049686"," 0.5272950190"," 0.4345037661"," 0.6579662413"," 0.0006107446"," 0.4565567512","-1.3088328988"," 2.7457452596"," 0.3657916602","-0.1553280417","-0.2770045343","-0.7286343174"
"10.59_628.4724m/z","-2.61947660","-0.61118574"," 0.80438867"," 0.14998659"," 0.08857919","-0.82810200"," 0.66195517"," 0.74441502"," 0.93062395","-0.62910763","-0.63893520","-0.46215210"," 1.53719630"," 0.46012626"," 0.53247266"," 0.17200446"," 0.78860784"," 1.16577735","-1.38051429","-0.86665992"
"11.12_621.4860m/z","-0.9334508","-0.9179124","-1.8929192","-0.9297417","-0.3039550"," 0.0675914","-0.4360356","-0.7328349","-0.2375449"," 0.3871233"," 0.6416011","-1.9218112"," 1.4050719"," 0.4765872"," 0.5054316"," 0.4685387"," 0.9808224"," 1.2108550"," 1.4419806"," 0.7206024"
"11.41_621.4845m/z"," 0.28738987","-0.32849899","-0.63408314","-0.08544699"," 0.40888793","-0.09064940","-0.17564669","-1.11595361","-1.17428197"," 0.35029855"," 1.06106980","-3.08400816"," 0.67968875"," 1.03095196"," 0.05833650"," 0.32048715"," 0.60510889"," 1.01454913"," 1.27359369","-0.40179327"
"10.56_621.3765m/z"," 0.41730103"," 1.41472362"," 0.87728183","-0.50839927","-0.21094683","-0.61517674"," 0.06644765"," 0.83938898"," 1.90712676","-1.92720496"," 0.71292701","-0.58952331"," 1.39257698","-1.16173250","-1.01938144","-0.70709847"," 0.23360816"," 0.47458586","-0.60447120","-0.99203315"
"10.76_621.3736m/z"," 1.9795833"," 0.8409974"," 1.1107184","-0.4307924"," 0.5046036","-0.3869419"," 0.4634788"," 0.5160935","-0.4667635"," 0.8379151"," 0.4354833","-0.5979579"," 0.2406558","-0.6848947","-0.2984962"," 1.3148912","-1.3285354","-0.9293486","-2.1763524","-0.9443374"
"9.97_620.5168m/z"," 1.17871438","-0.23336402"," 1.06777496"," 0.46815621","-0.01881396"," 1.18725557"," 1.66068331"," 1.07249143"," 0.44121273"," 0.47052356","-1.51774494","-1.02010642","-1.54743556","-1.48744941"," 0.15226888","-0.65927196","-0.01966625","-1.30693623","-0.35584943"," 0.46755716"
